fusion_name,file_name,kind,qty,bodies,children,material,mass_g,bbox_x_mm,bbox_y_mm,bbox_z_mm,linked,out_of_date,path
User_Library-LED_0603_R_Pocket002,User_Library-LED_0603_R_Pocket002,part,2,1,0,servo_board,0.0,0.4,0.8,0.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+LED1:1+User_Library-LED_0603_R:1+User_Library-LED_0603_R_Pocket002:1
M1,M1,subassembly,2,0,1,,0.3,5.0,6.1,1.6,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+M1:1
User_Library-sop-8,User_Library-sop-8,part,2,1,0,servo_board,0.3,5.0,6.1,1.6,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+M1:1+User_Library-sop-8:1
Q1,Q1,subassembly,2,0,1,,0.1,3.0,3.0,1.3,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Q1:1
SOT-23,SOT-23,part,2,1,0,servo_board,0.1,3.0,1.3,3.0,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Q1:1+SOT-23:1
R1,R1,subassembly,2,0,1,,0.0,0.8,1.6,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R1:1
R2,R2,subassembly,2,0,1,,0.0,0.8,1.6,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R2:1
R0603,R0603,subassembly,18,0,1,,0.0,1.6,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R2:1+R0603:1
R_0603-3615_AF0_ASM,R_0603-3615_AF0_ASM,subassembly,18,0,1,,0.0,1.6,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R2:1+R0603:1+R_0603-3615_AF0_ASM:1
R_0603-3601_AF0_ASM,R_0603-3601_AF0_ASM,subassembly,18,0,3,,0.0,1.6,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R2:1+R0603:1+R_0603-3615_AF0_ASM:1+R_0603-3601_AF0_ASM:1
5_1_2_3_400,5_1_2_3_400,part,18,1,0,servo_board,0.0,0.3,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R2:1+R0603:1+R_0603-3615_AF0_ASM:1+R_0603-3601_AF0_ASM:1+5_1_2_3_400:1
_2_1_2_3_4_AF0,2_1_2_3_4_AF0,part,18,1,0,servo_board,0.0,0.3,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R2:1+R0603:1+R_0603-3615_AF0_ASM:1+R_0603-3601_AF0_ASM:1+_2_1_2_3_4_AF0:1
_7_1_2_AF0,7_1_2_AF0,part,18,1,0,servo_board,0.0,1.5,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R2:1+R0603:1+R_0603-3615_AF0_ASM:1+R_0603-3601_AF0_ASM:1+_7_1_2_AF0:1
R3,R3,subassembly,2,0,1,,0.0,0.8,1.6,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R3:1
R4,R4,subassembly,2,0,1,,0.0,1.6,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R4:1
R5,R5,subassembly,2,0,1,,0.0,0.8,1.6,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R5:1
R6,R6,subassembly,2,0,1,,0.0,1.6,0.8,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R6:1
R7,R7,subassembly,2,0,1,,0.0,0.8,1.6,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R7:1
R8,R8,subassembly,2,0,1,,0.0,0.8,1.6,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R8:1
R9,R9,subassembly,2,0,1,,0.0,0.8,1.6,0.4,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+R9:1
Type_C1,Type_C1,subassembly,2,0,1,,2.2,9.6,32.7,4.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1
698b116-264-211,698b116-264-211,subassembly,2,0,22,,2.2,9.6,4.2,32.7,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1
SOLID (1),SOLID_1,part,2,1,0,servo_board,0.0,0.3,1.5,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (1):1
SOLID (10),SOLID_10,part,2,1,0,servo_board,0.0,0.3,0.3,5.7,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (10):1
SOLID (11),SOLID_11,part,2,1,0,servo_board,0.0,0.9,1.6,7.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (11):1
SOLID (12),SOLID_12,part,2,1,0,servo_board,0.0,0.4,2.0,6.8,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (12):1
SOLID (13),SOLID_13,part,2,1,0,servo_board,0.0,0.4,0.3,5.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (13):1
SOLID (14),SOLID_14,part,2,1,0,servo_board,0.0,0.4,2.0,6.8,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (14):1
SOLID (15),SOLID_15,part,2,1,0,servo_board,0.0,0.4,0.3,5.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (15):1
SOLID (16),SOLID_16,part,2,1,0,servo_board,0.0,0.9,1.6,7.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (16):1
SOLID (17),SOLID_17,part,2,1,0,servo_board,0.0,0.3,0.3,4.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (17):1
SOLID (18),SOLID_18,part,2,1,0,servo_board,0.0,0.3,0.3,4.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (18):1
SOLID (19),SOLID_19,part,2,1,0,servo_board,0.0,1.1,2.0,7.2,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (19):1
SOLID (2),SOLID_2,part,2,1,0,servo_board,0.0,0.3,1.5,0.9,False,,dovetail_umi_gripper:1+wareshare_st_servo_controller v7:1+Type_C1:1+698b116-264-211:1+SOLID (2):1
